
Year    Storms  Cat1  Cat2  Cat3  Cat4  Cat5
AL021956 ANNA, Start: 1956-07-25 18:00:00 End: 1956-07-27 12:00:00 Duration: 1 days 18 hours, Max Wind: 75 knots, Min Pressure: 991 mb, Landfalls: 1
AL031956 BETSY, Start: 1956-08-09 06:00:00 End: 1956-08-21 12:00:00 Duration: 12 days 6 hours, Max Wind: 105 knots, Min Pressure: 954 mb, Landfalls: 0
AL041956 CARLA, Start: 1956-09-07 00:00:00 End: 1956-09-16 06:00:00 Duration: 9 days 6 hours, Max Wind: 60 knots, Min Pressure: 1000 mb, Landfalls: 0
AL051956 DORA, Start: 1956-09-10 06:00:00 End: 1956-09-13 00:00:00 Duration: 2 days 18 hours, Max Wind: 50 knots, Min Pressure: 1000 mb, Landfalls: 0
AL061956 ETHEL, Start: 1956-09-11 18:00:00 End: 1956-09-14 06:00:00 Duration: 2 days 12 hours, Max Wind: 50 knots, Min Pressure: 999 mb, Landfalls: 0
AL071956 FLOSSY, Start: 1956-09-20 18:00:00 End: 1956-10-03 06:00:00 Duration: 12 days 12 hours, Max Wind: 80 knots, Min Pressure: 974 mb, Landfalls: 2
AL081956 GRETA, Start: 1956-10-31 00:00:00 End: 1956-11-07 06:00:00 Duration: 7 days 6 hours, Max Wind: 85 knots, Min Pressure: 970 mb, Landfalls: 0
AL091956 UNNAMED, Start: 1956-06-07 06:00:00 End: 1956-06-10 12:00:00 Duration: 3 days 6 hours, Max Wind: 40 knots, Min Pressure: 1002 mb, Landfalls: 0
AL101956 UNNAMED, Start: 1956-10-09 06:00:00 End: 1956-10-12 00:00:00 Duration: 2 days 18 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL111956 UNNAMED, Start: 1956-10-14 12:00:00 End: 1956-10-19 00:00:00 Duration: 4 days 12 hours, Max Wind: 55 knots, Min Pressure: 996 mb, Landfalls: 0
AL121956 UNNAMED, Start: 1956-11-19 00:00:00 End: 1956-11-21 12:00:00 Duration: 2 days 12 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL011957 UNNAMED, Start: 1957-06-08 06:00:00 End: 1957-06-15 18:00:00 Duration: 7 days 12 hours, Max Wind: 65 knots, Min Pressure: 996 mb, Landfalls: 0
AL021957 AUDREY, Start: 1957-06-24 12:00:00 End: 1957-06-29 00:00:00 Duration: 4 days 12 hours, Max Wind: 110 knots, Min Pressure: 946 mb, Landfalls: 1
AL031957 BERTHA, Start: 1957-08-08 00:00:00 End: 1957-08-11 06:00:00 Duration: 3 days 6 hours, Max Wind: 55 knots, Min Pressure: 998 mb, Landfalls: 0
AL041957 CARRIE, Start: 1957-09-02 06:00:00 End: 1957-09-25 18:00:00 Duration: 23 days 12 hours, Max Wind: 120 knots, Min Pressure: 945 mb, Landfalls: 0
AL051957 DEBBIE, Start: 1957-09-07 06:00:00 End: 1957-09-09 06:00:00 Duration: 2 days 0 hours, Max Wind: 35 knots, Min Pressure: 1003 mb, Landfalls: 0
AL061957 ESTHER, Start: 1957-09-16 00:00:00 End: 1957-09-19 12:00:00 Duration: 3 days 12 hours, Max Wind: 55 knots, Min Pressure: 1000 mb, Landfalls: 0
AL071957 FRIEDA, Start: 1957-09-20 12:00:00 End: 1957-09-27 12:00:00 Duration: 7 days 0 hours, Max Wind: 75 knots, Min Pressure: 975 mb, Landfalls: 0
AL081957 UNNAMED, Start: 1957-10-23 00:00:00 End: 1957-10-27 18:00:00 Duration: 4 days 18 hours, Max Wind: 50 knots, Min Pressure: 991 mb, Landfalls: 0
AL011958 ALMA, Start: 1958-06-14 06:00:00 End: 1958-06-16 06:00:00 Duration: 2 days 0 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
AL021958 BECKY, Start: 1958-08-08 12:00:00 End: 1958-08-17 12:00:00 Duration: 9 days 0 hours, Max Wind: 60 knots, Min Pressure: 1004 mb, Landfalls: 0
AL031958 CLEO, Start: 1958-08-11 06:00:00 End: 1958-08-22 18:00:00 Duration: 11 days 12 hours, Max Wind: 120 knots, Min Pressure: 947 mb, Landfalls: 0
AL041958 DAISY, Start: 1958-08-23 18:00:00 End: 1958-08-31 00:00:00 Duration: 7 days 6 hours, Max Wind: 115 knots, Min Pressure: 948 mb, Landfalls: 0
AL051958 ELLA, Start: 1958-08-30 06:00:00 End: 1958-09-07 00:00:00 Duration: 7 days 18 hours, Max Wind: 95 knots, Min Pressure: 983 mb, Landfalls: 2
AL061958 FIFI, Start: 1958-09-04 12:00:00 End: 1958-09-11 18:00:00 Duration: 7 days 6 hours, Max Wind: 75 knots, Min Pressure: 1000 mb, Landfalls: 0
AL071958 GERDA, Start: 1958-09-14 06:00:00 End: 1958-09-22 00:00:00 Duration: 7 days 18 hours, Max Wind: 50 knots, Min Pressure: 1001 mb, Landfalls: 0
AL081958 HELENE, Start: 1958-09-21 06:00:00 End: 1958-10-04 06:00:00 Duration: 13 days 0 hours, Max Wind: 130 knots, Min Pressure: 930 mb, Landfalls: 0
AL091958 ILSA, Start: 1958-09-24 06:00:00 End: 1958-09-30 06:00:00 Duration: 6 days 0 hours, Max Wind: 95 knots, Min Pressure: 956 mb, Landfalls: 0
AL101958 JANICE, Start: 1958-10-04 12:00:00 End: 1958-10-13 00:00:00 Duration: 8 days 12 hours, Max Wind: 85 knots, Min Pressure: 968 mb, Landfalls: 0
AL111958 UNNAMED, Start: 1958-05-25 00:00:00 End: 1958-05-29 06:00:00 Duration: 4 days 6 hours, Max Wind: 55 knots, Min Pressure: 1001 mb, Landfalls: 0
AL121958 UNNAMED, Start: 1958-10-15 18:00:00 End: 1958-10-18 18:00:00 Duration: 3 days 0 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL011959 ARLENE, Start: 1959-05-28 06:00:00 End: 1959-06-02 18:00:00 Duration: 5 days 12 hours, Max Wind: 55 knots, Min Pressure: 993 mb, Landfalls: 0
AL021959 BEULAH, Start: 1959-06-15 18:00:00 End: 1959-06-19 06:00:00 Duration: 3 days 12 hours, Max Wind: 60 knots, Min Pressure: 985 mb, Landfalls: 0
AL031959 UNNAMED, Start: 1959-06-18 00:00:00 End: 1959-06-22 12:00:00 Duration: 4 days 12 hours, Max Wind: 75 knots, Min Pressure: 974 mb, Landfalls: 0
AL041959 CINDY, Start: 1959-07-04 12:00:00 End: 1959-07-12 18:00:00 Duration: 8 days 6 hours, Max Wind: 65 knots, Min Pressure: 995 mb, Landfalls: 1
AL051959 DEBRA, Start: 1959-07-22 18:00:00 End: 1959-07-27 18:00:00 Duration: 5 days 0 hours, Max Wind: 75 knots, Min Pressure: 980 mb, Landfalls: 1
AL061959 EDITH, Start: 1959-08-18 00:00:00 End: 1959-08-19 00:00:00 Duration: 1 days 0 hours, Max Wind: 50 knots, Min Pressure: 1007 mb, Landfalls: 0
AL071959 FLORA, Start: 1959-09-09 06:00:00 End: 1959-09-13 00:00:00 Duration: 3 days 18 hours, Max Wind: 65 knots, Min Pressure: 994 mb, Landfalls: 0
AL081959 GRACIE, Start: 1959-09-20 12:00:00 End: 1959-10-02 12:00:00 Duration: 12 days 0 hours, Max Wind: 115 knots, Min Pressure: 951 mb, Landfalls: 1
AL091959 HANNAH, Start: 1959-09-27 12:00:00 End: 1959-10-08 18:00:00 Duration: 11 days 6 hours, Max Wind: 105 knots, Min Pressure: 959 mb, Landfalls: 0
AL101959 IRENE, Start: 1959-10-06 18:00:00 End: 1959-10-09 12:00:00 Duration: 2 days 18 hours, Max Wind: 40 knots, Min Pressure: 1000 mb, Landfalls: 0
AL111959 JUDITH, Start: 1959-10-14 06:00:00 End: 1959-10-22 06:00:00 Duration: 8 days 0 hours, Max Wind: 75 knots, Min Pressure: 988 mb, Landfalls: 0
AL121959 UNNAMED, Start: 1959-08-02 00:00:00 End: 1959-08-06 18:00:00 Duration: 4 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL131959 UNNAMED, Start: 1959-08-28 06:00:00 End: 1959-09-04 12:00:00 Duration: 7 days 6 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL141959 UNNAMED, Start: 1959-09-09 00:00:00 End: 1959-09-14 00:00:00 Duration: 5 days 0 hours, Max Wind: 55 knots, Min Pressure: 1002 mb, Landfalls: 0
AL011960 UNNAMED, Start: 1960-06-22 06:00:00 End: 1960-06-28 12:00:00 Duration: 6 days 6 hours, Max Wind: 50 knots, Min Pressure: 1000 mb, Landfalls: 0
AL021960 ABBY, Start: 1960-07-09 12:00:00 End: 1960-07-17 12:00:00 Duration: 8 days 0 hours, Max Wind: 70 knots, Min Pressure: 995 mb, Landfalls: 2
AL031960 BRENDA, Start: 1960-07-27 18:00:00 End: 1960-08-07 18:00:00 Duration: 11 days 0 hours, Max Wind: 60 knots, Min Pressure: 976 mb, Landfalls: 0
AL041960 CLEO, Start: 1960-08-17 18:00:00 End: 1960-08-21 00:00:00 Duration: 3 days 6 hours, Max Wind: 75 knots, Min Pressure: 995 mb, Landfalls: 0
AL051960 DONNA, Start: 1960-08-29 18:00:00 End: 1960-09-14 12:00:00 Duration: 15 days 18 hours, Max Wind: 125 knots, Min Pressure: 930 mb, Landfalls: 9
AL061960 ETHEL, Start: 1960-09-12 18:00:00 End: 1960-09-17 18:00:00 Duration: 5 days 0 hours, Max Wind: 100 knots, Min Pressure: 974 mb, Landfalls: 1
AL071960 FLORENCE, Start: 1960-09-17 06:00:00 End: 1960-09-26 18:00:00 Duration: 9 days 12 hours, Max Wind: 50 knots, Min Pressure: 1000 mb, Landfalls: 0
AL081960 UNNAMED, Start: 1960-09-01 00:00:00 End: 1960-09-03 00:00:00 Duration: 2 days 0 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL011961 ANNA, Start: 1961-07-17 18:00:00 End: 1961-07-25 00:00:00 Duration: 7 days 6 hours, Max Wind: 90 knots, Min Pressure: 976 mb, Landfalls: 3
AL021961 BETSY, Start: 1961-09-02 06:00:00 End: 1961-09-16 12:00:00 Duration: 14 days 6 hours, Max Wind: 115 knots, Min Pressure: 945 mb, Landfalls: 0
AL031961 CARLA, Start: 1961-09-03 12:00:00 End: 1961-09-18 00:00:00 Duration: 14 days 12 hours, Max Wind: 125 knots, Min Pressure: 927 mb, Landfalls: 1
AL041961 DEBBIE, Start: 1961-09-05 12:00:00 End: 1961-09-18 18:00:00 Duration: 13 days 6 hours, Max Wind: 80 knots, Min Pressure: 961 mb, Landfalls: 0
AL051961 ESTHER, Start: 1961-09-10 12:00:00 End: 1961-09-27 06:00:00 Duration: 16 days 18 hours, Max Wind: 140 knots, Min Pressure: 919 mb, Landfalls: 0
AL061961 UNNAMED, Start: 1961-09-12 12:00:00 End: 1961-09-15 12:00:00 Duration: 3 days 0 hours, Max Wind: 60 knots, Min Pressure: 995 mb, Landfalls: 0
AL071961 FRANCES, Start: 1961-09-30 06:00:00 End: 1961-10-10 06:00:00 Duration: 10 days 0 hours, Max Wind: 115 knots, Min Pressure: 948 mb, Landfalls: 0
AL081961 GERDA, Start: 1961-10-17 00:00:00 End: 1961-10-22 12:00:00 Duration: 5 days 12 hours, Max Wind: 65 knots, Min Pressure: 988 mb, Landfalls: 0
AL091961 HATTIE, Start: 1961-10-26 00:00:00 End: 1961-11-01 06:00:00 Duration: 6 days 6 hours, Max Wind: 145 knots, Min Pressure: 914 mb, Landfalls: 1
AL101961 JENNY, Start: 1961-11-02 00:00:00 End: 1961-11-11 06:00:00 Duration: 9 days 6 hours, Max Wind: 70 knots, Min Pressure: 974 mb, Landfalls: 0
AL111961 INGA, Start: 1961-11-04 00:00:00 End: 1961-11-08 12:00:00 Duration: 4 days 12 hours, Max Wind: 60 knots, Min Pressure: 997 mb, Landfalls: 0
AL121961 UNNAMED, Start: 1961-11-17 18:00:00 End: 1961-11-21 06:00:00 Duration: 3 days 12 hours, Max Wind: 50 knots, Min Pressure: 1004 mb, Landfalls: 0
AL011962 ALMA, Start: 1962-08-26 12:00:00 End: 1962-09-02 06:00:00 Duration: 6 days 18 hours, Max Wind: 75 knots, Min Pressure: 984 mb, Landfalls: 0
AL021962 BECKY, Start: 1962-08-27 06:00:00 End: 1962-09-01 00:00:00 Duration: 4 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL031962 CELIA, Start: 1962-09-12 00:00:00 End: 1962-09-21 12:00:00 Duration: 9 days 12 hours, Max Wind: 60 knots, Min Pressure: 995 mb, Landfalls: 0
AL041962 DAISY, Start: 1962-09-29 06:00:00 End: 1962-10-09 06:00:00 Duration: 10 days 0 hours, Max Wind: 90 knots, Min Pressure: 950 mb, Landfalls: 0
AL051962 ELLA, Start: 1962-10-14 06:00:00 End: 1962-10-25 06:00:00 Duration: 11 days 0 hours, Max Wind: 95 knots, Min Pressure: 958 mb, Landfalls: 0
AL061962 UNNAMED, Start: 1962-06-29 00:00:00 End: 1962-07-06 06:00:00 Duration: 7 days 6 hours, Max Wind: 55 knots, Min Pressure: 998 mb, Landfalls: 0
AL071962 UNNAMED, Start: 1962-11-26 12:00:00 End: 1962-12-06 06:00:00 Duration: 9 days 18 hours, Max Wind: 80 knots, Min Pressure: 991 mb, Landfalls: 0
AL011963 ARLENE, Start: 1963-07-31 18:00:00 End: 1963-08-14 00:00:00 Duration: 13 days 6 hours, Max Wind: 100 knots, Min Pressure: 969 mb, Landfalls: 1
AL021963 BEULAH, Start: 1963-08-20 00:00:00 End: 1963-09-08 18:00:00 Duration: 19 days 18 hours, Max Wind: 105 knots, Min Pressure: 958 mb, Landfalls: 0
AL031963 UNNAMED, Start: 1963-09-09 12:00:00 End: 1963-09-14 12:00:00 Duration: 5 days 0 hours, Max Wind: 70 knots, Min Pressure: 990 mb, Landfalls: 0
AL041963 CINDY, Start: 1963-09-16 12:00:00 End: 1963-09-20 00:00:00 Duration: 3 days 12 hours, Max Wind: 55 knots, Min Pressure: 996 mb, Landfalls: 0
AL051963 DEBRA, Start: 1963-09-19 06:00:00 End: 1963-09-24 18:00:00 Duration: 5 days 12 hours, Max Wind: 65 knots, Min Pressure: 999 mb, Landfalls: 0
AL061963 EDITH, Start: 1963-09-23 12:00:00 End: 1963-09-29 18:00:00 Duration: 6 days 6 hours, Max Wind: 85 knots, Min Pressure: 990 mb, Landfalls: 1
AL071963 FLORA, Start: 1963-09-28 12:00:00 End: 1963-10-17 18:00:00 Duration: 19 days 6 hours, Max Wind: 130 knots, Min Pressure: 933 mb, Landfalls: 5
AL081963 GINNY, Start: 1963-10-17 18:00:00 End: 1963-10-30 06:00:00 Duration: 12 days 12 hours, Max Wind: 95 knots, Min Pressure: 948 mb, Landfalls: 1
AL091963 HELENA, Start: 1963-10-25 06:00:00 End: 1963-10-30 12:00:00 Duration: 5 days 6 hours, Max Wind: 45 knots, Min Pressure: 1002 mb, Landfalls: 0
AL101963 UNNAMED, Start: 1963-06-01 12:00:00 End: 1963-06-04 12:00:00 Duration: 3 days 0 hours, Max Wind: 50 knots, Min Pressure: 1000 mb, Landfalls: 0
AL011964 UNNAMED, Start: 1964-06-03 12:00:00 End: 1964-06-11 18:00:00 Duration: 8 days 6 hours, Max Wind: 60 knots, Min Pressure: 992 mb, Landfalls: 0
AL021964 UNNAMED, Start: 1964-07-28 06:00:00 End: 1964-08-09 12:00:00 Duration: 12 days 6 hours, Max Wind: 75 knots, Min Pressure: 1006 mb, Landfalls: 0
AL031964 ABBY, Start: 1964-08-05 18:00:00 End: 1964-08-08 18:00:00 Duration: 3 days 0 hours, Max Wind: 60 knots, Min Pressure: 1000 mb, Landfalls: 0
AL041964 BRENDA, Start: 1964-08-08 06:00:00 End: 1964-08-10 12:00:00 Duration: 2 days 6 hours, Max Wind: 45 knots, Min Pressure: 1006 mb, Landfalls: 0
AL051964 CLEO, Start: 1964-08-20 18:00:00 End: 1964-09-11 00:00:00 Duration: 21 days 6 hours, Max Wind: 130 knots, Min Pressure: 938 mb, Landfalls: 6
AL061964 DORA, Start: 1964-08-28 12:00:00 End: 1964-09-16 00:00:00 Duration: 18 days 12 hours, Max Wind: 115 knots, Min Pressure: 942 mb, Landfalls: 1
AL071964 ETHEL, Start: 1964-09-04 06:00:00 End: 1964-09-17 12:00:00 Duration: 13 days 6 hours, Max Wind: 90 knots, Min Pressure: 969 mb, Landfalls: 0
AL081964 FLORENCE, Start: 1964-09-05 06:00:00 End: 1964-09-10 06:00:00 Duration: 5 days 0 hours, Max Wind: 40 knots, Min Pressure: 1003 mb, Landfalls: 0
AL091964 GLADYS, Start: 1964-09-13 06:00:00 End: 1964-09-25 00:00:00 Duration: 11 days 18 hours, Max Wind: 115 knots, Min Pressure: 945 mb, Landfalls: 0
AL101964 HILDA, Start: 1964-09-28 12:00:00 End: 1964-10-07 12:00:00 Duration: 9 days 0 hours, Max Wind: 120 knots, Min Pressure: 941 mb, Landfalls: 1
AL111964 ISBELL, Start: 1964-10-09 06:00:00 End: 1964-10-16 18:00:00 Duration: 7 days 12 hours, Max Wind: 100 knots, Min Pressure: 964 mb, Landfalls: 2
AL121964 UNNAMED, Start: 1964-11-05 00:00:00 End: 1964-11-10 00:00:00 Duration: 5 days 0 hours, Max Wind: 60 knots, Min Pressure: 997 mb, Landfalls: 0
AL131964 UNNAMED, Start: 1964-07-23 00:00:00 End: 1964-07-27 18:00:00 Duration: 4 days 18 hours, Max Wind: 50 knots, Min Pressure: 1003 mb, Landfalls: 0
AL011965 UNNAMED, Start: 1965-06-13 18:00:00 End: 1965-06-20 18:00:00 Duration: 7 days 0 hours, Max Wind: 50 knots, Min Pressure: 1005 mb, Landfalls: 0
AL021965 ANNA, Start: 1965-08-21 06:00:00 End: 1965-08-26 12:00:00 Duration: 5 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL031965 BETSY, Start: 1965-08-27 00:00:00 End: 1965-09-13 00:00:00 Duration: 17 days 0 hours, Max Wind: 120 knots, Min Pressure: 942 mb, Landfalls: 3
AL041965 CAROL, Start: 1965-09-16 06:00:00 End: 1965-10-03 12:00:00 Duration: 17 days 6 hours, Max Wind: 80 knots, Min Pressure: 974 mb, Landfalls: 0
AL051965 DEBBIE, Start: 1965-09-24 12:00:00 End: 1965-09-30 00:00:00 Duration: 5 days 12 hours, Max Wind: 50 knots, Min Pressure: 1000 mb, Landfalls: 0
AL061965 ELENA, Start: 1965-10-12 12:00:00 End: 1965-10-20 12:00:00 Duration: 8 days 0 hours, Max Wind: 95 knots, Min Pressure: 977 mb, Landfalls: 0
AL071965 UNNAMED, Start: 1965-09-04 00:00:00 End: 1965-09-11 12:00:00 Duration: 7 days 12 hours, Max Wind: 50 knots, Min Pressure: 991 mb, Landfalls: 0
AL081965 UNNAMED, Start: 1965-09-29 00:00:00 End: 1965-10-03 00:00:00 Duration: 4 days 0 hours, Max Wind: 60 knots, Min Pressure: 993 mb, Landfalls: 0
AL091965 UNNAMED, Start: 1965-10-16 06:00:00 End: 1965-10-19 12:00:00 Duration: 3 days 6 hours, Max Wind: 55 knots, Min Pressure: 1004 mb, Landfalls: 0
AL101965 UNNAMED, Start: 1965-11-26 18:00:00 End: 1965-12-02 06:00:00 Duration: 5 days 12 hours, Max Wind: 45 knots, Min Pressure: 997 mb, Landfalls: 0
AL011966 ALMA, Start: 1966-06-05 00:00:00 End: 1966-06-14 12:00:00 Duration: 9 days 12 hours, Max Wind: 100 knots, Min Pressure: 970 mb, Landfalls: 3
AL021966 BECKY, Start: 1966-06-30 00:00:00 End: 1966-07-03 18:00:00 Duration: 3 days 18 hours, Max Wind: 75 knots, Min Pressure: 984 mb, Landfalls: 0
AL031966 CELIA, Start: 1966-07-13 00:00:00 End: 1966-07-22 06:00:00 Duration: 9 days 6 hours, Max Wind: 65 knots, Min Pressure: 994 mb, Landfalls: 0
AL041966 DOROTHY, Start: 1966-07-21 06:00:00 End: 1966-07-31 00:00:00 Duration: 9 days 18 hours, Max Wind: 75 knots, Min Pressure: 989 mb, Landfalls: 0
AL051966 ELLA, Start: 1966-07-22 12:00:00 End: 1966-07-28 06:00:00 Duration: 5 days 18 hours, Max Wind: 40 knots, Min Pressure: 1008 mb, Landfalls: 0
AL061966 FAITH, Start: 1966-08-21 00:00:00 End: 1966-09-13 18:00:00 Duration: 23 days 18 hours, Max Wind: 105 knots, Min Pressure: 950 mb, Landfalls: 0
AL071966 GRETA, Start: 1966-09-01 12:00:00 End: 1966-09-07 18:00:00 Duration: 6 days 6 hours, Max Wind: 45 knots, Min Pressure: 1004 mb, Landfalls: 0
AL081966 HALLIE, Start: 1966-09-20 12:00:00 End: 1966-09-21 18:00:00 Duration: 1 days 6 hours, Max Wind: 50 knots, Min Pressure: 997 mb, Landfalls: 0
AL091966 INEZ, Start: 1966-09-21 12:00:00 End: 1966-10-11 12:00:00 Duration: 20 days 0 hours, Max Wind: 140 knots, Min Pressure: 927 mb, Landfalls: 9
AL101966 JUDITH, Start: 1966-09-27 00:00:00 End: 1966-09-30 06:00:00 Duration: 3 days 6 hours, Max Wind: 40 knots, Min Pressure: 1007 mb, Landfalls: 0
AL111966 LOIS, Start: 1966-11-04 12:00:00 End: 1966-11-14 06:00:00 Duration: 9 days 18 hours, Max Wind: 75 knots, Min Pressure: 983 mb, Landfalls: 0
AL121966 UNNAMED, Start: 1966-06-28 12:00:00 End: 1966-07-02 18:00:00 Duration: 4 days 6 hours, Max Wind: 40 knots, Min Pressure: 1004 mb, Landfalls: 0
AL131966 UNNAMED, Start: 1966-07-25 12:00:00 End: 1966-07-27 12:00:00 Duration: 2 days 0 hours, Max Wind: 25 knots, Min Pressure: 1007 mb, Landfalls: 0
AL141966 UNNAMED, Start: 1966-09-27 18:00:00 End: 1966-09-30 18:00:00 Duration: 3 days 0 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
AL151966 KENDRA, Start: 1966-10-03 12:00:00 End: 1966-10-11 18:00:00 Duration: 8 days 6 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
AL161966 UNNAMED, Start: 1966-11-13 18:00:00 End: 1966-11-19 18:00:00 Duration: 6 days 0 hours, Max Wind: 55 knots, Min Pressure: 994 mb, Landfalls: 0
AL171966 UNNAMED, Start: 1966-11-19 18:00:00 End: 1966-11-26 00:00:00 Duration: 6 days 6 hours, Max Wind: 55 knots, Min Pressure: 997 mb, Landfalls: 0
AL011967 UNNAMED, Start: 1967-06-10 12:00:00 End: 1967-06-12 12:00:00 Duration: 2 days 0 hours, Max Wind: 25 knots, Min Pressure: 1004 mb, Landfalls: 0
AL031967 UNNAMED, Start: 1967-06-15 18:00:00 End: 1967-06-22 00:00:00 Duration: 6 days 6 hours, Max Wind: 45 knots, Min Pressure: 1006 mb, Landfalls: 0
AL111967 ARLENE, Start: 1967-08-28 18:00:00 End: 1967-09-05 18:00:00 Duration: 8 days 0 hours, Max Wind: 80 knots, Min Pressure: 982 mb, Landfalls: 0
AL121967 CHLOE, Start: 1967-09-04 18:00:00 End: 1967-09-21 18:00:00 Duration: 17 days 0 hours, Max Wind: 95 knots, Min Pressure: 958 mb, Landfalls: 0
AL131967 BEULAH, Start: 1967-09-05 12:00:00 End: 1967-09-24 06:00:00 Duration: 18 days 18 hours, Max Wind: 140 knots, Min Pressure: 923 mb, Landfalls: 3
AL141967 DORIA, Start: 1967-09-04 18:00:00 End: 1967-09-21 12:00:00 Duration: 16 days 18 hours, Max Wind: 85 knots, Min Pressure: 973 mb, Landfalls: 0
AL151967 UNNAMED, Start: 1967-09-19 12:00:00 End: 1967-09-27 06:00:00 Duration: 7 days 18 hours, Max Wind: 30 knots, Min Pressure: 1012 mb, Landfalls: 0
AL161967 UNNAMED, Start: 1967-09-25 00:00:00 End: 1967-10-01 12:00:00 Duration: 6 days 12 hours, Max Wind: 40 knots, Min Pressure: 1004 mb, Landfalls: 0
AL171967 UNNAMED, Start: 1967-09-26 12:00:00 End: 1967-09-28 12:00:00 Duration: 2 days 0 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
AL181967 EDITH, Start: 1967-09-26 12:00:00 End: 1967-10-01 00:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: 1000 mb, Landfalls: 0
AL191967 FERN, Start: 1967-10-01 18:00:00 End: 1967-10-04 12:00:00 Duration: 2 days 18 hours, Max Wind: 65 knots, Min Pressure: 987 mb, Landfalls: 0
AL211967 GINGER, Start: 1967-10-05 12:00:00 End: 1967-10-08 18:00:00 Duration: 3 days 6 hours, Max Wind: 45 knots, Min Pressure: 1011 mb, Landfalls: 0
AL231967 UNNAMED, Start: 1967-10-14 06:00:00 End: 1967-10-19 06:00:00 Duration: 5 days 0 hours, Max Wind: 50 knots, Min Pressure: 1002 mb, Landfalls: 0
AL241967 UNNAMED, Start: 1967-10-15 12:00:00 End: 1967-10-17 12:00:00 Duration: 2 days 0 hours, Max Wind: 30 knots, Min Pressure: 1006 mb, Landfalls: 0
AL251967 HEIDI, Start: 1967-10-19 12:00:00 End: 1967-11-02 18:00:00 Duration: 14 days 6 hours, Max Wind: 75 knots, Min Pressure: 981 mb, Landfalls: 0
AL271967 UNNAMED, Start: 1967-06-20 00:00:00 End: 1967-06-23 12:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: 1006 mb, Landfalls: 0
AL281967 UNNAMED, Start: 1967-09-01 12:00:00 End: 1967-09-05 18:00:00 Duration: 4 days 6 hours, Max Wind: 35 knots, Min Pressure: 1004 mb, Landfalls: 0
AL011968 ABBY, Start: 1968-06-01 06:00:00 End: 1968-06-13 12:00:00 Duration: 12 days 6 hours, Max Wind: 65 knots, Min Pressure: 992 mb, Landfalls: 0
AL021968 BRENDA, Start: 1968-06-18 00:00:00 End: 1968-06-26 12:00:00 Duration: 8 days 12 hours, Max Wind: 70 knots, Min Pressure: 990 mb, Landfalls: 0
AL031968 CANDY, Start: 1968-06-22 06:00:00 End: 1968-06-26 18:00:00 Duration: 4 days 12 hours, Max Wind: 60 knots, Min Pressure: 995 mb, Landfalls: 0
AL051968 DOLLY, Start: 1968-08-10 06:00:00 End: 1968-08-17 00:00:00 Duration: 6 days 18 hours, Max Wind: 75 knots, Min Pressure: 985 mb, Landfalls: 0
AL061968 UNNAMED, Start: 1968-08-26 12:00:00 End: 1968-08-31 18:00:00 Duration: 5 days 6 hours, Max Wind: 25 knots, Min Pressure: N/A mb, Landfalls: 0
AL081968 EDNA, Start: 1968-09-13 18:00:00 End: 1968-09-17 18:00:00 Duration: 4 days 0 hours, Max Wind: 60 knots, Min Pressure: 1012 mb, Landfalls: 0
AL091968 UNNAMED, Start: 1968-09-14 12:00:00 End: 1968-09-25 00:00:00 Duration: 10 days 12 hours, Max Wind: 75 knots, Min Pressure: 976 mb, Landfalls: 0
